index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed,edition,torch version,batch,train_classes,eval_classes
9,9,0.3705266711681297,0.4903781228899392,0.6109047940580689,0.7263673193787981,,10,1.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,0,0.4395678595543552,0.5717420661715057,0.6882174206617151,0.7957461174881837,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,1,0.4957798784604997,0.6186698176907495,0.7353139770425389,0.8327143821742066,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,2,0.4964550979068197,0.62525320729237,0.7267049291019582,0.8214044564483457,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,3,0.5027008777852802,0.6227211343686698,0.7358203916272789,0.824780553679946,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,4,0.49983119513842,0.62542201215395,0.7348075624577988,0.8203916272788656,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,5,0.5045577312626603,0.6323430114787306,0.7334571235651587,0.8214044564483457,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,6,0.4794058068872383,0.6043214044564483,0.7106684672518568,0.8014854827819041,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,7,0.4713031735313977,0.5911546252532073,0.6956448345712356,0.7883187035786631,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,8,0.4572923700202566,0.5793382849426063,0.6934503713706954,0.7918636056718433,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
10,9,0.4691087103308576,0.5892977717758271,0.7061107359891965,0.7979405806887239,,10,1.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,0,0.4547602970965564,0.587440918298447,0.7089804186360568,0.8084064821066846,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,1,0.4853139770425388,0.6137744767049291,0.725185685347738,0.824105334233626,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,2,0.5128291694800811,0.6311613774476705,0.737677245104659,0.824780553679946,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,3,0.4991559756920999,0.6233963538149899,0.7316002700877785,0.824780553679946,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,4,0.4821066846725186,0.6022957461174882,0.7115124915597569,0.8073936529372046,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,5,0.4859891964888589,0.6097231600270088,0.7223160027008778,0.8185347738014855,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,6,0.4593180283592168,0.5776502363268062,0.6910871033085753,0.7964213369345037,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,7,0.4827819041188386,0.6082039162727887,0.7221471978392978,0.8057056043214045,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,8,0.4745104659014179,0.6043214044564483,0.7143821742066172,0.8141458474004052,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
12,9,0.4719783929777178,0.6017893315327482,0.7137069547602971,0.7991222147197841,,10,3.0,1.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,0,0.2775151924375422,0.4002363268062121,0.5324105334233626,0.6706617150573937,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,1,0.3772788656313302,0.4974679270762998,0.6272788656313302,0.7400405131667792,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,2,0.4061444969615125,0.5332545577312626,0.6549628629304524,0.7672180958811614,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,3,0.4350101282916948,0.5577312626603647,0.6718433490884538,0.7761647535449021,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,4,0.4719783929777178,0.6029709655638082,0.7147197839297772,0.8127954085077651,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
13,5,0.4572923700202566,0.5830519918973667,0.6991897366644161,0.799966239027684,,10,3.0,3.0,64,0,0,1.1.0,128.0,"[0, 100]","[100, 200]"
