index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed,edition,batch,torch version,train_classes,eval_classes,p_c
0,0,0.3816258762759808,0.4989546181281515,0.6247694010576805,0.74172918460214,0.4334706108564728,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,1,0.4463165662280161,0.5707785020292707,0.6874923133685894,0.7900627229123109,0.4746631329134628,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,2,0.4789078834091748,0.6048456524412741,0.7203296027548887,0.8139220268109704,0.5107472677007411,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,3,0.4770630918706186,0.5994342639281761,0.7161480752674948,0.8098634854261468,0.5152642438201708,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,4,0.4685770507932603,0.5863977370557127,0.7026196039847498,0.7983027917845283,0.5277414361831432,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,5,0.4808756610503013,0.6021399581847251,0.7141802976263683,0.8042061247079079,0.5199820554117861,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,6,0.4707908006395277,0.6015250276718731,0.7072930758824253,0.8013774443487885,0.523404092263595,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,7,0.463657606690444,0.5863977370557127,0.6962243266510885,0.7908006395277334,0.5178466913674891,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,8,0.4517279547411143,0.5786496125937769,0.6935186323945394,0.7896937646045997,0.5221636414830108,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,9,0.4416430943303407,0.5662280162341655,0.6808510638297872,0.7767802238347067,0.5067353458344751,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,10,0.4551715656130858,0.5827081539786004,0.6933956462919689,0.7883409174763252,0.5149386441388002,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,11,0.4532037879719592,0.5793875292091993,0.6857705079326036,0.7753043906038618,0.5099915055499856,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,12,0.4470544828434387,0.568441766080433,0.6819579387529209,0.7792399458861149,0.5174899599545908,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,13,0.4274996925347436,0.5486410035665971,0.6681834952650351,0.7702619603984749,0.5001058875302666,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,14,0.4227032345344976,0.5467962120280409,0.6584675931619727,0.7542737670643217,0.5014908743231206,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,15,0.4270077481244621,0.5442135038740622,0.6577296765465502,0.7534128643463288,0.4972510280501943,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,16,0.41569302668798425,0.5337596851555774,0.6549009961874308,0.7571024474234411,0.5006756582043397,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,17,0.424916984380765,0.5435985733612102,0.6540400934694379,0.7620218915262575,0.5068663158340163,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,18,0.4164309433034067,0.5320378797195917,0.6512114131103185,0.7518140450129135,0.4965646021340366,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,19,0.4121264297134424,0.5326528102324437,0.6502275242897553,0.7525519616283358,0.4952170635948485,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,20,0.3974910835075636,0.518632394539417,0.632148567211905,0.7317673102939368,0.4915157611501647,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,21,0.3974910835075636,0.5206001721805436,0.6362071085967286,0.7386545320378797,0.495140492220161,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,22,0.4006887221743943,0.5209691304882548,0.6394047472635592,0.7352109211659082,0.4878763459344803,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,23,0.3855614315582339,0.5074406592055097,0.6223096790062723,0.7172549501906285,0.4762108535952563,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,24,0.38494650104538186,0.5055958676669536,0.6209568318779978,0.7252490468577051,0.4788705399426006,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,25,0.391587750584184,0.5134669782314598,0.6353462058787357,0.7403763374738654,0.4873295176655901,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,26,0.3608412249415816,0.479276841716886,0.5966055835690567,0.7043414094207354,0.4564712127178541,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
0,27,0.36231705817242654,0.4746033698192104,0.590702250645677,0.6991759931127782,0.4540967377240784,1,1.0,1.0,64,0,0,32,1.1.0,"[0, 98]","[98, 196]",1
