index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed
0,0,0.4571235651586766,0.587440918298447,0.7057731262660365,0.8119513841998649,0.5763507824083198,1,1.0,1.0,64,0
0,1,0.46218771100607703,0.5817015530047266,0.7034098582039163,0.7977717758271439,0.5706560421488559,1,1.0,1.0,64,0
0,2,0.475016880486158,0.6011141120864281,0.7116812964213369,0.8100945307224848,0.5798157525974668,1,1.0,1.0,64,0
0,3,0.4606684672518568,0.5764686022957461,0.6953072248480756,0.7967589466576638,0.5738630451217596,1,1.0,1.0,64,0
0,4,0.4454760297096557,0.5651586765698852,0.6811276164753545,0.787812288993923,0.5712051689992623,1,1.0,1.0,64,0
0,5,0.4358541525995949,0.5551991897366644,0.6731937879810939,0.7763335584064821,0.5558746110264025,1,1.0,1.0,64,0
0,6,0.42302498311951386,0.5410195813639432,0.6612086428089129,0.7690749493585415,0.5528719231403703,1,1.0,1.0,64,0
0,7,0.41357191087103307,0.5324105334233626,0.6536124240378123,0.7552329507089804,0.5451367239378161,1,1.0,1.0,64,0
0,8,0.39972991222147203,0.5199189736664416,0.6460162052667117,0.7570898041863605,0.5309144090867216,1,1.0,1.0,64,0
0,9,0.4039500337609723,0.5266711681296421,0.6421336934503714,0.7472991222147198,0.5354439277224793,1,1.0,1.0,64,0
1,0,0.4610060769750169,0.5881161377447671,0.7088116137744767,0.8065496286293046,,1,1.0,3.0,64,0
1,1,0.4924037812288994,0.6213706954760297,0.7344699527346388,0.8290006752194463,,1,1.0,3.0,64,0
1,2,0.5032072923700203,0.6282916948008103,0.7370020256583389,0.8305199189736664,,1,1.0,3.0,64,0
1,3,0.4930790006752194,0.6215395003376097,0.7339635381498987,0.8261309925725859,,1,1.0,3.0,64,0
1,4,0.5011816340310601,0.6200202565833896,0.7263673193787981,0.8161715057393653,,1,1.0,3.0,64,0
1,5,0.46353814989871706,0.5916610398379474,0.7025658338960162,0.7972653612424038,,1,1.0,3.0,64,0
1,6,0.4680958811613775,0.587609723160027,0.700033760972316,0.7962525320729237,,1,1.0,3.0,64,0
1,7,0.4648885887913572,0.587609723160027,0.7029034436191762,0.7972653612424038,,1,1.0,3.0,64,0
1,8,0.4660702228224173,0.5886225523295071,0.7013841998649561,0.7942268737339635,,1,1.0,3.0,64,0
1,9,0.4677582714382174,0.5844024307900068,0.6941255908170155,0.787305874409183,,1,1.0,3.0,64,0
2,0,0.3695138419986496,0.5010128291694801,0.6330182309250506,0.7537137069547603,,1,1.0,8.0,64,0
2,1,0.4189736664415935,0.5440580688723835,0.6723497636731938,0.7824105334233626,,1,1.0,8.0,64,0
2,2,0.4738352464550979,0.6093855503038488,0.7204591492234976,0.8215732613099257,,1,1.0,8.0,64,0
2,3,0.5025320729237002,0.6274476704929102,0.738352464550979,0.8325455773126266,,1,1.0,8.0,64,0
2,4,0.4988183659689399,0.6233963538149899,0.7302498311951384,0.8220796758946658,,1,1.0,8.0,64,0
2,5,0.525489534098582,0.6470290344361918,0.7525320729237002,0.8392977717758271,,1,1.0,8.0,64,0
2,6,0.5140108035111411,0.6360567184334909,0.7434166103983795,0.8381161377447671,,1,1.0,8.0,64,0
2,7,0.5204253882511817,0.638251181634031,0.7508440243079001,0.8509453072248481,,1,1.0,8.0,64,0
2,8,0.5182309250506415,0.6421336934503714,0.7515192437542201,0.8381161377447671,,1,1.0,8.0,64,0
2,9,0.5204253882511817,0.6444969615124916,0.7540513166779204,0.8436866981769074,,1,1.0,8.0,64,0
3,0,0.4645509790681972,0.5806887238352465,0.6944632005401755,0.7981093855503039,,1,3.0,1.0,64,0
3,1,0.513673193787981,0.6431465226198515,0.7547265361242403,0.8392977717758271,,1,3.0,1.0,64,0
3,2,0.5020256583389602,0.6291357191087104,0.7418973666441594,0.8325455773126266,,1,3.0,1.0,64,0
3,3,0.5084402430790007,0.638588791357191,0.7445982444294396,0.8268062120189061,,1,3.0,1.0,64,0
3,4,0.5089466576637407,0.6284604996623903,0.738183659689399,0.8291694800810263,,1,3.0,1.0,64,0
3,5,0.5069209993247805,0.6301485482781904,0.7361580013504389,0.8220796758946658,,1,3.0,1.0,64,0
3,6,0.4831195138419986,0.6078663065496286,0.7162390276839973,0.8100945307224848,,1,3.0,1.0,64,0
3,7,0.4680958811613775,0.5909858203916273,0.7002025658338961,0.799966239027684,,1,3.0,1.0,64,0
3,8,0.4790681971640784,0.5963875759621877,0.7111748818365969,0.8028359216745442,,1,3.0,1.0,64,0
3,9,0.4726536124240378,0.5952059419311276,0.7077987846049967,0.8028359216745442,,1,3.0,1.0,64,0
4,0,0.3148210668467252,0.4415935178933153,0.5708980418636057,0.700033760972316,,1,3.0,3.0,64,0
4,1,0.4022619851451722,0.5273463875759622,0.6483794733288318,0.7614787305874409,,1,3.0,3.0,64,0
