index,epoch,r@1,r@2,r@4,r@8,NMI,lr,scl_x,scl_p,sz_emb,seed,edition,torch version,batch
0,0,0.4571235651586766,0.587440918298447,0.7057731262660365,0.8119513841998649,0.5763507824083198,1,1.0,1.0,64,0,0,1.1.0,128.0
0,1,0.46218771100607703,0.5817015530047266,0.7034098582039163,0.7977717758271439,0.5706560421488559,1,1.0,1.0,64,0,0,1.1.0,128.0
0,2,0.475016880486158,0.6011141120864281,0.7116812964213369,0.8100945307224848,0.5798157525974668,1,1.0,1.0,64,0,0,1.1.0,128.0
0,3,0.4606684672518568,0.5764686022957461,0.6953072248480756,0.7967589466576638,0.5738630451217596,1,1.0,1.0,64,0,0,1.1.0,128.0
0,4,0.4454760297096557,0.5651586765698852,0.6811276164753545,0.787812288993923,0.5712051689992623,1,1.0,1.0,64,0,0,1.1.0,128.0
0,5,0.4358541525995949,0.5551991897366644,0.6731937879810939,0.7763335584064821,0.5558746110264025,1,1.0,1.0,64,0,0,1.1.0,128.0
0,6,0.42302498311951386,0.5410195813639432,0.6612086428089129,0.7690749493585415,0.5528719231403703,1,1.0,1.0,64,0,0,1.1.0,128.0
0,7,0.41357191087103307,0.5324105334233626,0.6536124240378123,0.7552329507089804,0.5451367239378161,1,1.0,1.0,64,0,0,1.1.0,128.0
0,8,0.39972991222147203,0.5199189736664416,0.6460162052667117,0.7570898041863605,0.5309144090867216,1,1.0,1.0,64,0,0,1.1.0,128.0
0,9,0.4039500337609723,0.5266711681296421,0.6421336934503714,0.7472991222147198,0.5354439277224793,1,1.0,1.0,64,0,0,1.1.0,128.0
1,0,0.4610060769750169,0.5881161377447671,0.7088116137744767,0.8065496286293046,,1,1.0,3.0,64,0,0,1.1.0,128.0
1,1,0.4924037812288994,0.6213706954760297,0.7344699527346388,0.8290006752194463,,1,1.0,3.0,64,0,0,1.1.0,128.0
1,2,0.5032072923700203,0.6282916948008103,0.7370020256583389,0.8305199189736664,,1,1.0,3.0,64,0,0,1.1.0,128.0
1,3,0.4930790006752194,0.6215395003376097,0.7339635381498987,0.8261309925725859,,1,1.0,3.0,64,0,0,1.1.0,128.0
